station_name,crs,terminus
Aldrington,AGT,
Ashtead,AHD,
Ashurst (Kent),AHS,
Amberley,AMY,
Angmering,ANG,
Appledore (Kent),APD,
Arundel,ARU,
Ashurst,ASH,
Barnham,BAA,
Balcombe,BAB,
Banstead,BAD,
Battersea Park,BAK,
Balham,BAL,
Battle,BAT,
Bat & Ball,BBL,
Bexhill,BEX,
Blackfriars,BFR,
Billingshurst,BIG,
Birkbeck,BIK,
Bishopstone (Sussex),BIP,
Belmont,BLM,
Bognor Regis,BOG,
Bosham,BOH,
Berwick (Sussex),BRK,
Basingstoke,BSK,
Brighton,BTN,
Burgess Hill,BUG,
Buxted,BXD,
Box Hill & Westhumble,BXW,
Caterham,CAT,
Cooksbridge,CBR,
Chichester,CCH,
Coulsdon Town,CDN,
Coulsdon South,CDS,
Cheam,CHE,
Christs Hospital,CHH,
Chipstead,CHP,
Clapham Junction,CLJ,
Collington,CLL,
Cooden Beach,COB,
Crowborough,COH,
Crawley,CRW,
Cosham,CSA,
Carshalton Beeches,CSB,
Carshalton,CSH,
City Thameslink,CTK,
Cowden (Kent),CWN,
Dorking (Main),DKG,
Dorking West,DKT,
Doleham,DLH,
Dormans,DMS,
Dunton Green,DNG,
Durrington-on-Sea,DUR,
Eastbourne,EBN,
Edenbridge (Kent),EBR,
Edenbridge Town,EBT,
East Croydon ,ECR,
East Dulwich,EDW,
East Grinstead,EGR,
Earlswood Surrey,ELD,
Emsworth,EMS,
Epsom Downs,EPD,
Epsom (Surrey),EPS,
Eridge,ERI,
Etchingham,ETC,
Ewell East,EWE,
East Worthing,EWR,
Eynsford,EYN,
Faygate,FGT,
Falmer,FMR,
Farningham Road,FNR,
Ford,FOD,
Fareham,FRM,
Frant,FRT,
Fishbourne (Sussex),FSB,
Fishersgate,FSG,
Fratton,FTN,
Goring-by-Sea,GBS,
Godstone,GDN,
Gipsy Hill,GIP,
Glynde,GLY,
Gatwick Airport,GTW,
Havant,HAV,
Hackbridge,HCB,
Hedge End,HDE,
Hever,HEV,
Hurst Green,HGD,
Hastings,HGS,
Haywards Heath,HHE,
High Brooms,HIB,
Hildenborough,HLB,
Holmwood,HLM,
Hilsea,HLS,
Hampden Park (Sussex),HMD,
Ham Street,HMT,
Horley,HOR,
Hove,HOV,
Horsham,HRH,
Hassocks,HSK,
Hurst Green,HUR,
Ifield,IFI,
Kenley,KLY,
Kingswood,KND,
Kensington Olympia,KPA,
Lancing,LAC,
London Bridge,LBG,
Lingfield,LFD,
Leatherhead,LHD,
Leigh (Kent),LIH,
Littlehampton,LIT,
London Road (Brighton),LRB,
Littlehaven,LVN,
Lewes,LWS,
Moulsecoomb,MCB,
Merstham,MHM,
Mitcham Junction,MIJ,
Mitcham Eastfields,MTC,
North Dulwich,NDL,
Norbury,NRB,
Normans Bay,NSB,
Nutfield,NUF,
Nutbourne,NUT,
Newhaven Harbour,NVH,
Newhaven Town,NVN,
Ockley,OCK,
Ockley,OLY,
Ore,ORE,
Otford,OTF,
Oxted,OXT,
Pevensey Bay,PEB,
Pevensey & Westham,PEV,
Penshurst,PHR,
Portslade,PLD,
Polegate,PLG,
Portsmouth Harbour,PMH,
Plumpton,PMP,
Peckham Rye,PMR,
Portsmouth & Southsea,PMS,
Preston Park,PRP,
Portchester,PTC,
Pulborough,PUL,
Purley Oaks,PUO,
Purley,PUR,
Queens Road (Peckham),QRP,
Robertsbridge,RBR,
Riddlesdown,RDD,
Redhill,RDH,
Reigate,REI,
Reedham (London),RHM,
Rye (Sussex),RYE,
Salfords (Surrey),SAF,
Swanley,SAY,
South Bermondsey,SBM,
South Croydon,SCY,
St Denys,SDN,
Southease,SEE,
Seaford Sussex,SEF,
Shoreham (Kent),SEH,
Sevenoaks,SEV,
St Leonards Warrior Square,SLQ,
Sanderstead,SNR,
Swanwick,SNW,
Southbourne,SOB,
Stonegate,SOG,
Southampton Central,SOU,
Shepherds Bush,SPB,
Streatham Common,SRC,
Streatham Hill,SRH,
Selhurst,SRS,
Shoreham-by-Sea,SSE,
Streatham (Greater London),STE,
St Pancras International,STP,
Sutton (London),SUO,
Southwick,SWK,
Tadworth,TAD,
Tattenham Corner,TAT,
Three Bridges,TBD,
Tunbridge Wells,TBW,
Three Oaks,TOK,
Tonbridge,TON,
Thornton Heath,TTH,
Tulse Hill,TUH,
Uckfield,UCK,
Upper Warlingham,UWL,
London Victoria,VIC,
Wadhurst,WAD,
London Waterloo,WAT,
Warblington,WBL,
West Brompton,WBP,
Waddon,WDO,
Whyteleafe South,WHS,
Whyteleafe,WHY,
Winchester,WIN,
West St Leonards,WLD,
Wallington,WLT,
Woodmansterne,WME,
Warnham,WNH,
West Norwood,WNW,
Woldingham,WOH,
Worthing,WRH,
Winchelsea,WSE,
West Sutton,WSU,
Wandsworth Common,WSW,
Wivelsfield,WVF,
West Worthing,WWO,
Farringdon,ZFD,
